scenario,aggregate,before_n,after_n,before_negative,before_neutral,before_positive,after_negative,after_neutral,after_positive,delta_negative,delta_neg_ci_lo,delta_neg_ci_hi,chi2,chi2_pvalue
v1_full_before,A,4346,1254,0.4788311090658076,0.4866543948458352,0.03451449608835711,0.5996810207336523,0.37719298245614036,0.023125996810207338,0.12084991166784465,0.09103516698704045,0.15207482397790484,57.27571545824137,3.6537296938241177e-13
v1_full_before,B2,43788,2834,0.43870466794555585,0.4832830912578789,0.07801224079656527,0.39908256880733944,0.5190543401552575,0.08186309103740297,-0.039622099138216405,-0.0579167716667057,-0.02090447670204657,17.09792680409645,0.00019374583203333402
v1_full_before,C,2143,890,0.6350909939337378,0.3243117125524965,0.04059729351376575,0.6179775280898876,0.36966292134831463,0.012359550561797753,-0.017113465843850206,-0.05445560932641947,0.021367700954767678,19.641471871015135,5.43135981789536e-05
v1_full_before,GOV,5133,189,0.18858367426456263,0.6688096629651276,0.14260666277030976,0.31216931216931215,0.5291005291005291,0.15873015873015872,0.12358563790474952,0.055607893524316644,0.19026073121631265,20.11840890577373,4.279007165827719e-05
v1_full_before,PARL,3567,125,0.43425848051583965,0.487524530417718,0.0782169890664424,0.552,0.368,0.08,0.1177415194841604,0.028336529296327465,0.2029380431735352,7.393700292581299,0.0248015247389793
v1_full_before,AGENCIES,2401,176,0.7667638483965015,0.22657226155768428,0.006663890045814244,0.6704545454545454,0.3125,0.017045454545454544,-0.09630930294195605,-0.1672612145507554,-0.02535662224073314,9.606748302833635,0.008202025431123321
v1_full_before,PRES,155014,6585,0.4146012618215129,0.46204213812945927,0.12335660004902783,0.4625664388762339,0.4318906605922551,0.10554290053151101,0.047965177054720975,0.03567475302571199,0.06045002470151882,63.69450236147614,1.475416202504644e-14
v1_full_before,PRES_PURE,105303,3649,0.3629906080548512,0.4764251730719922,0.16058421887315652,0.3809262811729241,0.4587558235132913,0.1603178953137846,0.01793567311807287,0.002135916442581852,0.034308125250860064,5.435905179987121,0.0660097652218516
v2_symmetric,A,342,1254,0.4619883040935672,0.5,0.038011695906432746,0.5996810207336523,0.37719298245614036,0.023125996810207338,0.13769271664008503,0.07840909090909091,0.19671052631578942,21.24130265869396,2.4406737680244092e-05
v2_symmetric,B2,3236,2834,0.3831891223733004,0.5061804697156984,0.11063040791100123,0.39908256880733944,0.5190543401552575,0.08186309103740297,0.01589344643403906,-0.009035562126151352,0.0413893560709485,14.329304376517415,0.0007734479449637867
v2_symmetric,C,215,890,0.5534883720930233,0.4325581395348837,0.013953488372093023,0.6179775280898876,0.36966292134831463,0.012359550561797753,0.06448915599686433,-0.008343349882414475,0.13940815259994765,3.0179620377370937,0.2211351957855388
v2_symmetric,GOV,167,189,0.3473053892215569,0.5508982035928144,0.10179640718562874,0.31216931216931215,0.5291005291005291,0.15873015873015872,-0.03513607705224475,-0.12928270443240505,0.05969014352247881,2.587957773982888,0.27417768784513147
v2_symmetric,PARL,112,125,0.38392857142857145,0.49107142857142855,0.125,0.552,0.368,0.08,0.1680714285714286,0.04156249999999997,0.2917857142857143,6.811776097443926,0.033177343897937396
v2_symmetric,AGENCIES,109,176,0.8256880733944955,0.1743119266055046,0.0,0.6704545454545454,0.3125,0.017045454545454544,-0.15523352793995004,-0.25224145120934116,-0.05602585487906612,9.03097508817119,0.010938270937308857
v2_symmetric,PRES,11251,6585,0.4333836992267354,0.4561372322460226,0.11047906852724203,0.4625664388762339,0.4318906605922551,0.10554290053151101,0.029182739649498468,0.014489204941674995,0.04480594789954379,14.356960394470553,0.0007628263071393096
v2_symmetric,PRES_PURE,5996,3649,0.3460640426951301,0.48815877251501,0.1657771847898599,0.3809262811729241,0.4587558235132913,0.1603178953137846,0.034862238477794016,0.014714732403131233,0.05410409831090458,12.198513912537512,0.0022445348875974776
