sentiment,before_n,after_n,before_share,after_share,delta_share
negative,64269,3046,0.4146012618215129,0.4625664388762339,0.047965177054720975
neutral,71623,2844,0.46204213812945927,0.4318906605922551,-0.030151477537204152
positive,19122,695,0.12335660004902783,0.10554290053151101,-0.017813699517516823
