date_day,negative,neutral,positive
2022-02-24 00:00:00+00:00,0.4505406487785342,0.5226271525830998,0.02683219863836604
2022-03-26 00:00:00+00:00,0.49736716132120634,0.4681665868836764,0.03446625179511728
2022-04-25 00:00:00+00:00,0.46277372262773725,0.4744525547445255,0.06277372262773723
2022-05-25 00:00:00+00:00,0.5078888054094666,0.4237415477084899,0.06836964688204357
2022-06-24 00:00:00+00:00,0.49407474931631723,0.45487693710118504,0.05104831358249772
2022-07-24 00:00:00+00:00,0.5548098434004475,0.3970917225950783,0.04809843400447427
2022-08-23 00:00:00+00:00,0.4538950715421304,0.47456279809220986,0.07154213036565978
2022-09-22 00:00:00+00:00,0.3523809523809524,0.5944862155388471,0.053132832080200504
2022-10-22 00:00:00+00:00,0.4049531459170013,0.5167336010709505,0.0783132530120482
2022-11-21 00:00:00+00:00,0.38385376999238385,0.5316070068545317,0.08453922315308454
2022-12-21 00:00:00+00:00,0.4291970802919708,0.47153284671532847,0.09927007299270073
2023-01-20 00:00:00+00:00,0.47058823529411764,0.4852941176470588,0.04411764705882353
2023-02-19 00:00:00+00:00,0.3860610806577917,0.5223179326546593,0.09162098668754894
2023-03-21 00:00:00+00:00,0.3785112359550562,0.5252808988764045,0.09620786516853932
2023-04-20 00:00:00+00:00,0.5276461295418642,0.41021590310689837,0.06213796735123749
2023-05-20 00:00:00+00:00,0.4483695652173913,0.43953804347826086,0.11209239130434782
2023-06-19 00:00:00+00:00,0.39471057884231536,0.5439121756487026,0.061377245508982034
2023-07-19 00:00:00+00:00,0.431413612565445,0.45340314136125653,0.11518324607329843
2023-08-18 00:00:00+00:00,0.430327868852459,0.4661885245901639,0.10348360655737705
2023-09-17 00:00:00+00:00,0.46238716148445336,0.4463390170511535,0.09127382146439318
2023-10-17 00:00:00+00:00,0.446985446985447,0.4584199584199584,0.0945945945945946
2023-11-16 00:00:00+00:00,0.3991552270327349,0.4614572333685322,0.13938753959873285
2023-12-16 00:00:00+00:00,0.47619047619047616,0.3952380952380952,0.12857142857142856
2024-01-15 00:00:00+00:00,0.4848167539267016,0.43350785340314135,0.08167539267015707
2024-02-14 00:00:00+00:00,0.4755309325946445,0.4404432132963989,0.0840258541089566
2024-03-15 00:00:00+00:00,0.540765391014975,0.4018302828618968,0.05740432612312812
2024-04-14 00:00:00+00:00,0.37070254110612855,0.5418535127055306,0.08744394618834081
2024-05-14 00:00:00+00:00,0.3920505871725384,0.5284552845528455,0.07949412827461608
2024-06-13 00:00:00+00:00,0.45787545787545786,0.4597069597069597,0.08241758241758242
2024-07-13 00:00:00+00:00,0.4822380106571936,0.44404973357015987,0.07371225577264653
2024-08-12 00:00:00+00:00,0.48007590132827327,0.45540796963946867,0.06451612903225806
2024-09-11 00:00:00+00:00,0.44435674822415155,0.47355958958168903,0.08208366219415943
2024-10-11 00:00:00+00:00,0.42580019398642094,0.5082444228903976,0.06595538312318137
2024-11-10 00:00:00+00:00,0.4255003706449222,0.502594514455152,0.07190511489992588
2024-12-10 00:00:00+00:00,0.4346689895470383,0.44947735191637633,0.11585365853658537
2025-01-09 00:00:00+00:00,0.4692622950819672,0.45389344262295084,0.07684426229508197
2025-02-08 00:00:00+00:00,0.4558960074280409,0.47818012999071496,0.06592386258124419
2025-03-10 00:00:00+00:00,0.37509491268033407,0.5588458618071375,0.06605922551252848
2025-04-09 00:00:00+00:00,0.35294117647058826,0.5397456279809221,0.10731319554848967
2025-05-09 00:00:00+00:00,0.36462585034013606,0.5578231292517006,0.07755102040816327
2025-06-08 00:00:00+00:00,0.4750795334040297,0.45068928950159065,0.07423117709437964
2025-07-08 00:00:00+00:00,0.5020080321285141,0.43694779116465865,0.06104417670682731
2025-08-07 00:00:00+00:00,0.3998294970161978,0.5089514066496164,0.09121909633418585
2025-09-06 00:00:00+00:00,0.507366482504604,0.4152854511970534,0.07734806629834254
2025-10-06 00:00:00+00:00,0.45324347093513057,0.45155855096882896,0.09519797809604044
2025-11-05 00:00:00+00:00,0.3745885450954575,0.5582620144832127,0.06714944042132982
2025-12-05 00:00:00+00:00,0.39396346306592533,0.4749801429706116,0.13105639396346305
2026-01-04 00:00:00+00:00,0.42555066079295156,0.5013215859030837,0.07312775330396476
2026-02-03 00:00:00+00:00,0.5178041543026706,0.43867457962413453,0.043521266073194856
2026-03-05 00:00:00+00:00,0.48789131718842293,0.4412285883047844,0.07088009450679268
2026-04-04 00:00:00+00:00,0.4827968923418424,0.4528301886792453,0.06437291897891231
