sentiment,before_n,after_n,before_share,after_share,delta_share
negative,26495,2642,0.43979483434034927,0.4844151081774844,0.04462027383713513
neutral,29108,2497,0.48316844831020517,0.4578291162449578,-0.025339332065247355
positive,4641,315,0.07703671734944559,0.057755775577557754,-0.019280941771887834
