scenario,contrast,point,ci_lo,ci_hi,significant_95
v1_full_before,dNeg(A) - dNeg(B2),0.16047201080606105,0.12575420268092538,0.19662540144099427,True
v1_full_before,dNeg(A) - dNeg(GOV),-0.0027357262369048785,-0.07635810722957447,0.0688274834394652,False
v1_full_before,dNeg(C) - dNeg(B2),0.022508633294366198,-0.019046910796215087,0.06508445326198511,False
v1_full_before,dNeg(A) - dNeg(PRES_PURE),0.10291423854977177,0.06752173133587694,0.13759099912434414,True
v1_full_before,dNeg(C) - dNeg(PRES_PURE),-0.035049138961923076,-0.07722534073159878,0.00615373025002657,False
v1_full_before,dNeg(B2) - dNeg(PRES_PURE),-0.057557772256289275,-0.08170512873403069,-0.033322090357577536,True
v2_symmetric,dNeg(A) - dNeg(B2),0.12179927020604597,0.05722882341341001,0.18743849418715455,True
v2_symmetric,dNeg(A) - dNeg(GOV),0.17282879369232979,0.05816021939564329,0.2889317476537772,True
v2_symmetric,dNeg(C) - dNeg(B2),0.04859570956282527,-0.026396250706923998,0.1271665590433671,False
v2_symmetric,dNeg(A) - dNeg(PRES_PURE),0.10283047816229102,0.039896280565508646,0.16485184136583558,True
v2_symmetric,dNeg(C) - dNeg(PRES_PURE),0.029626917519070317,-0.04715269459127688,0.10818158879592449,False
v2_symmetric,dNeg(B2) - dNeg(PRES_PURE),-0.018968792043754956,-0.050766360081578955,0.012547044629820743,False
