sentiment,before_n,after_n,before_share,after_share,delta_share
negative,34707,1783,0.214112537554674,0.2344510190664036,0.0203384815117296
neutral,118225,5507,0.7293472427003584,0.7241288625904011,-0.0052183801099573
positive,9165,315,0.0565402197449675,0.0414201183431952,-0.0151201014017722
